theme,approach,fold,wss95,wss95_threshold,roc_auc,best_f1,best_f1_threshold,precision_at_best_f1,recall_at_best_f1,n,n_errors,mean_latency_s,calibrated_recall,calibrated_precision,calibrated_excluded,calibrated_missed
illiterate,gemma2:2b/zero-shot,2,-0.050000000000000044,1.0,0.7602339181286549,0.5161290322580644,3.0,0.36363636363636365,0.8888888888888888,47,0,2.85,,,,
illiterate,gemma2:2b/zero-shot,3,0.4642857142857142,3.0,0.7903225806451613,0.38095238095238093,3.0,0.23529411764705882,1.0,35,0,2.87,,,,
illiterate,llama3.2:3b/few-shot-random,1,0.21470588235294114,5.0,0.6551724137931034,0.33333333333333337,5.0,0.2,1.0,34,0,4.0,,,,
illiterate,llama3.2:3b/few-shot-random,2,0.14148936170212761,5.0,0.618421052631579,0.38297872340425526,5.0,0.23684210526315788,1.0,47,0,4.02,,,,
illiterate,llama3.2:3b/few-shot-random,3,0.03571428571428567,5.0,0.5483870967741935,0.2222222222222222,5.0,0.125,1.0,35,0,4.37,,,,
illiterate,llama3.2:3b/few-shot-random-k1,1,0.39117647058823524,5.0,0.7586206896551724,0.4166666666666667,5.0,0.2631578947368421,1.0,34,0,4.52,,,,
illiterate,llama3.2:3b/few-shot-random-k1,2,0.375531914893617,5.0,0.7631578947368421,0.5,5.0,0.3333333333333333,1.0,47,0,4.13,,,,
illiterate,llama3.2:3b/few-shot-random-k1,3,0.23571428571428565,5.0,0.6612903225806452,0.2758620689655173,5.0,0.16,1.0,35,0,4.48,,,,
illiterate,llama3.2:3b/few-shot-random-k4,1,0.12647058823529408,5.0,0.603448275862069,0.30303030303030304,5.0,0.17857142857142858,1.0,34,0,4.98,,,,
illiterate,llama3.2:3b/few-shot-random-k4,2,0.05638297872340421,5.0,0.5526315789473684,0.35294117647058826,5.0,0.21428571428571427,1.0,47,0,4.52,,,,
illiterate,llama3.2:3b/few-shot-random-k4,3,0.007142857142857097,5.0,0.532258064516129,0.21621621621621626,5.0,0.12121212121212122,1.0,35,0,4.53,,,,
illiterate,llama3.2:3b/few-shot-similar,1,0.03823529411764702,5.0,0.5517241379310345,0.27777777777777773,5.0,0.16129032258064516,1.0,34,0,5.93,,,,
illiterate,llama3.2:3b/few-shot-similar,2,0.07765957446808505,5.0,0.5789473684210527,0.36,5.0,0.21951219512195122,1.0,47,0,5.57,,,,
illiterate,llama3.2:3b/few-shot-similar,3,0.0928571428571428,5.0,0.5806451612903225,0.23529411764705882,5.0,0.13333333333333333,1.0,35,0,5.62,,,,
illiterate,llama3.2:3b/few-shot-similar-k1,1,0.21470588235294114,5.0,0.6551724137931034,0.33333333333333337,5.0,0.2,1.0,34,0,5.27,,,,
illiterate,llama3.2:3b/few-shot-similar-k1,2,0.20531914893617015,5.0,0.6578947368421053,0.40909090909090906,5.0,0.2571428571428571,1.0,47,0,4.94,,,,
illiterate,llama3.2:3b/few-shot-similar-k1,3,0.17857142857142852,5.0,0.6290322580645161,0.25806451612903225,5.0,0.14814814814814814,1.0,35,0,4.76,,,,
illiterate,llama3.2:3b/few-shot-similar-k4,1,0.06764705882352937,5.0,0.5689655172413793,0.2857142857142857,5.0,0.16666666666666666,1.0,34,0,8.78,,,,
illiterate,llama3.2:3b/few-shot-similar-k4,2,0.05638297872340421,5.0,0.5526315789473684,0.35294117647058826,5.0,0.21428571428571427,1.0,47,0,8.58,,,,
illiterate,llama3.2:3b/few-shot-similar-k4,3,0.12142857142857139,5.0,0.5967741935483871,0.2424242424242424,5.0,0.13793103448275862,1.0,35,0,8.67,,,,
illiterate,llama3.2:3b/zero-shot,1,0.538235294117647,5.0,0.8448275862068966,0.5263157894736842,5.0,0.35714285714285715,1.0,34,0,5.3,,,,
illiterate,llama3.2:3b/zero-shot,2,0.31170212765957445,3.0,0.8640350877192983,0.64,5.0,0.5,0.8888888888888888,47,0,3.73,,,,
illiterate,llama3.2:3b/zero-shot,3,0.6071428571428571,5.0,0.8709677419354839,0.5,5.0,0.3333333333333333,1.0,35,0,3.73,,,,
illiterate,qwen2.5:3b/few-shot-random,1,-0.020588235294117692,4.0,0.7965517241379312,0.6666666666666665,5.0,0.75,0.6,34,0,2.87,,,,
illiterate,qwen2.5:3b/few-shot-random,2,0.03510638297872336,4.0,0.7426900584795322,0.5714285714285714,5.0,0.8,0.4444444444444444,47,0,2.88,,,,
illiterate,qwen2.5:3b/few-shot-random,3,-0.050000000000000044,1.0,0.8346774193548387,0.6666666666666665,7.0,0.6,0.75,35,0,2.9,,,,
illiterate,qwen2.5:3b/few-shot-random-k1,1,0.7735294117647058,5.0,0.9862068965517242,0.9090909090909091,5.0,0.8333333333333334,1.0,34,0,3.17,,,,
illiterate,qwen2.5:3b/few-shot-random-k1,2,-0.028723404255319194,3.0,0.7923976608187134,0.6153846153846153,5.0,1.0,0.4444444444444444,47,0,2.87,,,,
illiterate,qwen2.5:3b/few-shot-random-k1,3,0.26428571428571423,4.0,0.8951612903225806,0.6666666666666665,5.0,0.6,0.75,35,0,2.75,,,,
illiterate,qwen2.5:3b/few-shot-random-k4,1,-0.050000000000000044,1.0,0.5724137931034483,0.33333333333333337,7.0,1.0,0.2,34,0,3.4,,,,
illiterate,qwen2.5:3b/few-shot-random-k4,2,0.03510638297872336,4.0,0.7514619883040936,0.6153846153846153,5.0,1.0,0.4444444444444444,47,0,3.15,,,,
illiterate,qwen2.5:3b/few-shot-random-k4,3,-0.021428571428571474,4.0,0.7580645161290323,0.6666666666666666,5.0,1.0,0.5,35,0,2.92,,,,
illiterate,qwen2.5:3b/few-shot-similar,1,-0.020588235294117692,4.0,0.8517241379310345,0.6666666666666665,7.0,0.75,0.6,34,0,4.46,,,,
illiterate,qwen2.5:3b/few-shot-similar,2,-0.007446808510638343,4.0,0.8538011695906432,0.7368421052631577,6.0,0.7,0.7777777777777778,47,0,4.25,,,,
illiterate,qwen2.5:3b/few-shot-similar,3,0.7214285714285714,5.0,0.935483870967742,0.6666666666666666,5.0,0.5,1.0,35,0,4.15,,,,
illiterate,qwen2.5:3b/few-shot-similar-k1,1,0.7147058823529411,5.0,0.9586206896551724,0.7692307692307693,5.0,0.625,1.0,34,0,3.76,,,,
illiterate,qwen2.5:3b/few-shot-similar-k1,2,-0.028723404255319194,3.0,0.8479532163742689,0.7777777777777778,5.0,0.7777777777777778,0.7777777777777778,47,0,3.47,,,,
illiterate,qwen2.5:3b/few-shot-similar-k1,3,0.20714285714285707,4.0,0.8508064516129032,0.5,5.0,0.375,0.75,35,0,3.38,,,,
illiterate,qwen2.5:3b/few-shot-similar-k4,1,0.00882352941176466,4.0,0.8758620689655172,0.7272727272727272,5.0,0.6666666666666666,0.8,34,0,6.6,,,,
illiterate,qwen2.5:3b/few-shot-similar-k4,2,-0.050000000000000044,1.0,0.7894736842105262,0.6666666666666666,5.0,0.6666666666666666,0.6666666666666666,47,0,6.35,,,,
illiterate,qwen2.5:3b/few-shot-similar-k4,3,0.007142857142857097,4.0,0.8588709677419354,0.75,7.0,0.75,0.75,35,0,6.15,,,,
illiterate,qwen2.5:3b/zero-shot,1,0.2441176470588235,3.0,0.8931034482758621,0.7499999999999999,5.0,1.0,0.6,34,0,3.18,,,,
illiterate,qwen2.5:3b/zero-shot,2,0.24787234042553186,3.0,0.8362573099415204,0.6153846153846153,5.0,1.0,0.4444444444444444,47,0,2.82,,,,
illiterate,qwen2.5:3b/zero-shot,3,0.20714285714285707,3.0,0.8508064516129032,0.75,5.0,0.75,0.75,35,0,2.65,,,,
mdwe,gemma2:2b/few-shot-random,1,0.029999999999999957,3.0,0.5666666666666667,0.6060606060606061,3.0,0.43478260869565216,1.0,25,0,4.58,,,,
mdwe,gemma2:2b/few-shot-random,2,0.00882352941176466,3.0,0.5555555555555556,0.6666666666666666,3.0,0.5,1.0,17,0,4.46,,,,
mdwe,gemma2:2b/few-shot-random,3,-4.163336342344337e-17,6.0,0.5384615384615384,0.5384615384615384,6.0,0.3684210526315789,1.0,20,0,4.77,,,,
mdwe,gemma2:2b/few-shot-similar,1,-0.050000000000000044,1.0,0.5,0.5714285714285715,1.0,0.4,1.0,25,0,4.93,,,,
mdwe,gemma2:2b/few-shot-similar,2,-0.050000000000000044,1.0,0.5,0.6399999999999999,1.0,0.47058823529411764,1.0,17,0,4.99,,,,
mdwe,gemma2:2b/few-shot-similar,3,-0.050000000000000044,1.0,0.5,0.5185185185185185,1.0,0.35,1.0,20,0,4.97,,,,
mdwe,gemma2:2b/zero-shot,1,0.14999999999999997,4.0,0.6666666666666667,0.6666666666666666,4.0,0.5,1.0,25,0,3.67,,,,
mdwe,gemma2:2b/zero-shot,2,0.12647058823529408,3.0,0.6666666666666667,0.7272727272727273,3.0,0.5714285714285714,1.0,17,0,3.5,,,,
mdwe,gemma2:2b/zero-shot,3,0.14999999999999997,3.0,0.6538461538461539,0.6086956521739131,3.0,0.4375,1.0,20,0,3.41,,,,
mdwe,llama3.2:3b/few-shot-random,1,0.06999999999999995,5.0,0.6,0.625,5.0,0.45454545454545453,1.0,25,0,10.66,,,,
mdwe,llama3.2:3b/few-shot-random,2,-0.050000000000000044,1.0,0.5,0.6399999999999999,1.0,0.47058823529411764,1.0,17,0,7.46,,,,
mdwe,llama3.2:3b/few-shot-random,3,0.14999999999999997,5.0,0.6538461538461539,0.6086956521739131,5.0,0.4375,1.0,20,0,8.66,,,,
mdwe,llama3.2:3b/few-shot-similar,1,-0.010000000000000044,5.0,0.5333333333333333,0.5882352941176471,5.0,0.4166666666666667,1.0,25,0,6.47,,,,
